cost_center,cust_loc,brand,loc_name,item_code,item_desc,order_type,inv_date,qty_ship,sell_price,net_sale,promo_cat,subcat_1,subcat_2
2,00005985 0002,rollins,PUBLIC REL & CORP COMM             ,PROK455   ,PORT AUTHORITY RAPID DRY POLO (S-XL)    ,POD,2/13/2020,4,$27.00 ,$108.00 ,Apparel,Polo,Mens
2,00005985 0002,rollins,PUBLIC REL & CORP COMM             ,PROK4552X ,PORT AUTHORITY RAPID DRY POLO (2XL)     ,POD,2/13/2020,1,$29.00 ,$29.00 ,Apparel,Polo,Mens
2,00005985 0002,rollins,PUBLIC REL & CORP COMM             ,PROK4553XL,PORT AUTHORITY RAPID DRY POLO (3XL)     ,POD,2/13/2020,3,$29.00 ,$87.00 ,Apparel,Polo,Mens
2,00005985 0002,rollins,PUBLIC REL & CORP COMM             ,PROK4555X ,PORT AUTHORITY RAPID DRY POLO (5XL)     ,POD,2/13/2020,1,$31.00 ,$31.00 ,Apparel,Polo,Mens
81,00005985 0081,Orkin,081 SOUTHEAST DIVISION             ,ORK6147   ,Orkin Challenge Coin                    ,Inventory,2/5/2020,150,$4.90 ,$735.00 ,Office,,
82,00005985 0082,Orkin,082 MIDWEST DIVISION               ,ORK6071   ,CoolerOrkin Infinity Sport              ,Inventory,4/16/2020,2,$16.42 ,$32.84 ,Coolers,,
82,00005985 0082,Orkin,082 MIDWEST DIVISION               ,ORK7317   ,UmbrellaOrkin Color Flip Inverted Foldin,Inventory,4/16/2020,3,$18.36 ,$55.08 ,Umbrella,,
82,00005985 0082,Orkin,082 MIDWEST DIVISION               ,ORK7000   ,TumblerOrkin 20oz Hugo Copper Vacuum Ins,Inventory,4/16/2020,4,$14.41 ,$57.64 ,Drinkware,,
82,00005985 0082,Orkin,082 MIDWEST DIVISION               ,ORK6128R  ,FlashlightOrkin Telescopic Aluminum with,Inventory,4/16/2020,4,$6.99 ,$27.96 ,Flashlights,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK7265K2X,JacketOrkin Carhartt Duck Traditional Co,POD,12/23/2020,1,$129.27 ,$129.27 ,Apparel,Outerwear,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK4008   ,WatchOrkin Women's Timex 2-Tone Gold Exp,Inventory,12/14/2020,2,$92.15 ,$184.30 ,Watches,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK7294   ,TumblerOrkin 20oz Arctic Zone Titan Ther,Inventory,12/14/2020,3,$27.30 ,$81.90 ,Drinkware,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK7295   ,MugOrkin 14oz Arctic Zone Titan Thermal ,Inventory,12/14/2020,5,$21.07 ,$105.35 ,Drinkware,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK7332   ,TumblerOrkin Bugs Tervis Stainless Steel,Inventory,12/14/2020,2,$24.01 ,$48.02 ,Drinkware,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK4007   ,WatchOrkin Swiss                        ,Inventory,12/14/2020,5,$98.36 ,$491.80 ,Watches,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,ORK6082   ,PinOrkin Lapel (Pack of 5)              ,Inventory,5/19/2020,50,$7.66 ,$76.60 ,Pins / Medals,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PROBT9003 ,"2.25"" ROUND BUTTON                      ",Direct Ship,4/13/2020,1200,$0.57 ,$684.00 ,tradeshow,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PROPD34925,ONSTAGE POST IT 3 X 4 (25 SHEET PAD)    ,Direct Ship,3/23/2020,-25,$0.64 ,($16.00),Office,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PROPWI    ,ELITE SLIM METALLIC PEN - WBBO          ,Direct Ship,3/11/2020,250,$0.70 ,$175.00 ,Office,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PROPD34925,ONSTAGE POST IT 3 X 4 (25 SHEET PAD)    ,Direct Ship,3/11/2020,525,$0.64 ,$336.00 ,Office,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PROBG100  ,ONSTAGE CINCH UP BACKPACK RED           ,POD,3/11/2020,300,$2.41 ,$723.00 ,Bags,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PROSILWRIS,"INKN INJECTED 1/2"" SILICONE WRISTBAND   ",Direct Ship,2/29/2020,1200,$0.47 ,$564.00 ,tradeshow,,
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO354055 ,NIKE SPHERE DRY DIAMOND POLO XS-L       ,POD,2/24/2020,5,$64.00 ,$320.00 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO354055 ,NIKE SPHERE DRY DIAMOND POLO XS-L       ,POD,2/24/2020,-5,$64.00 ,($320.00),Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO3540552,NIKE SPHERE DRY DIAMOND POLO 2X         ,POD,2/24/2020,4,$65.60 ,$262.40 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO3540552,NIKE SPHERE DRY DIAMOND POLO 2X         ,POD,2/24/2020,-4,$65.50 ,($262.00),Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO3540553,NIKE SPHERE DRY DIAMOND POLO 3X         ,POD,2/24/2020,3,$68.50 ,$205.50 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO3540553,NIKE SPHERE DRY DIAMOND POLO 3X         ,POD,2/24/2020,-3,$68.50 ,($205.50),Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO354055X,NIKE SPHERE DRY DIAMOND POLO XL         ,POD,2/24/2020,4,$64.00 ,$256.00 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO354055X,NIKE SPHERE DRY DIAMOND POLO XL         ,POD,2/24/2020,-4,$65.50 ,($262.00),Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO354055X,NIKE SPHERE DRY DIAMOND POLO XL         ,POD,2/13/2020,4,$65.50 ,$262.00 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO3540553,NIKE SPHERE DRY DIAMOND POLO 3X         ,POD,2/13/2020,3,$68.50 ,$205.50 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO3540552,NIKE SPHERE DRY DIAMOND POLO 2X         ,POD,2/13/2020,4,$65.50 ,$262.00 ,Apparel,Polo,Mens
84,00005985 0084,Orkin,084 SOUTH CENTRAL DIVISION         ,PRO354055 ,NIKE SPHERE DRY DIAMOND POLO XS-L       ,POD,2/13/2020,5,$64.00 ,$320.00 ,Apparel,Polo,Mens
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK7242RXL,FleeceOrkin Port Authority Ladies Collec,POD,12/31/2020,1,$38.24 ,$38.24 ,Apparel,Fleece,Womens
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK7267KXL,3-in-1 JacketOrkin Port Authority Ladies,POD,12/31/2020,1,$99.56 ,$99.56 ,Apparel,Outerwear,Womens
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK6122   ,TowelOrkin Rally Golf                   ,Inventory,11/24/2020,100,$2.45 ,$245.00 ,Golf,,
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK5003   ,Golf BallsOrkin Bridgestone E6 Soft     ,Inventory,11/24/2020,96,$37.85 ,$302.80 ,Golf,,
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK5002   ,"Orkin Golf Tees (2 3/4"") & Ball Marker (",Inventory,11/2/2020,160,$19.56 ,$156.48 ,Golf,,
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK5003   ,Golf BallsOrkin Bridgestone E6 Soft     ,Inventory,10/22/2020,60,$37.85 ,$189.25 ,Golf,,
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK5003   ,Golf BallsOrkin Bridgestone E6 Soft     ,Inventory,9/29/2020,60,$37.85 ,$189.25 ,Golf,,
85,00005985 0085,Orkin,085 NORTHEAST DIVISION             ,ORK1083K2X,PoloOrkin Men's CB Drytec Northgate     ,POD,8/27/2020,1,$42.97 ,$42.97 ,Apparel,Polo,Mens
