Cost Center,Cust Loc,Brand,ZIP,Lat,Lon,Location,INV_DATE,Quarter,NET_SALE,Order Qty,Promo Cat,subcat_1,subcat_2
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,7/10/2020,3,$175.00 ,20,Flashlights,,
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,7/10/2020,3,$11.69 ,1,Vehicle,,
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,7/10/2020,3,$17.50 ,2,Drinkware,,
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,6/23/2020,2,$99.80 ,10,Office,,
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,5/28/2020,2,$0.00 ,1,Apparel,Polo,Womens
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,1/22/2020,1,($6.15),-3,tradeshow,,
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,1/22/2020,1,($40.50),-2,Tradeshow,,
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,12/29/2020,4,$21.24 ,1,Apparel,Polo,Womens
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,12/29/2020,4,$19.76 ,1,Apparel,Polo,Mens
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,12/29/2020,4,$38.12 ,1,Apparel,Polo,Mens
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,11/5/2020,4,$109.26 ,1,Office,,
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,10/19/2020,4,$14.51 ,1,Tech,,
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,10/19/2020,4,$43.72 ,1,Apparel,Polo,Mens
